                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0888,                0.90759,                  1.238,                0.80015,                0.73579,                0.82918,                0.55622,                 1.1166,                0.98856,                 1.2931,              0.0011833,              0.0011833,              0.0011833
                     36,                  1.093,                0.90779,                 1.2433,                0.85384,                0.78316,                0.86763,                0.59024,                 1.0555,                0.88969,                 1.2366,              0.0011585,              0.0011585,              0.0011585
                     37,                 1.1042,                0.91055,                 1.2578,                0.76757,                0.75781,                0.83431,                0.56667,                 1.1375,                0.98152,                 1.3145,              0.0011337,              0.0011337,              0.0011337
                     38,                 1.0851,                0.87478,                 1.2477,                 0.8081,                   0.78,                0.86442,                0.59877,                 1.0579,                0.89099,                 1.2592,               0.001109,               0.001109,               0.001109
                     39,                 1.0806,                0.89272,                 1.2357,                0.86058,                0.75474,                 0.8567,                0.59444,                  1.075,                0.91745,                 1.2749,              0.0010842,              0.0010842,              0.0010842
                     40,                 1.0691,                 0.8743,                 1.2329,                 0.8203,                0.73789,                0.81799,                 0.5516,                 1.2032,                 1.0463,                 1.3649,              0.0010595,              0.0010595,              0.0010595
                     41,                 1.0175,                0.84423,                  1.197,                0.87203,                0.77263,                 0.8682,                0.58973,                 1.0882,                0.91267,                 1.2802,              0.0010347,              0.0010347,              0.0010347
                     42,                 1.0645,                0.85606,                 1.2165,                0.81482,                0.77053,                0.86939,                0.60546,                  1.059,                0.88174,                 1.2522,                0.00101,                0.00101,                0.00101
                     43,                 1.0523,                0.85999,                 1.2163,                0.89013,                0.74737,                0.85639,                0.57847,                 1.1669,                0.92076,                 1.3537,             0.00098525,             0.00098525,             0.00098525
                     44,                 1.0131,                0.82173,                 1.1965,                0.79885,                0.73579,                 0.8181,                 0.5643,                 1.0792,                0.97343,                 1.2699,              0.0009605,              0.0009605,              0.0009605
                     45,                 1.0287,                0.83237,                 1.2016,                0.81547,                0.80476,                 0.8559,                 0.6128,                0.99554,                0.91046,                 1.2158,             0.00093575,             0.00093575,             0.00093575
                     46,                 1.0324,                0.81109,                 1.2102,                0.86106,                0.77628,                0.86483,                0.60792,                 1.0164,                0.85682,                 1.2243,               0.000911,               0.000911,               0.000911
                     47,                 1.0064,                0.80332,                 1.1839,                0.87064,                0.77895,                0.86444,                0.60413,                 1.0694,                0.87883,                 1.2552,             0.00088625,             0.00088625,             0.00088625
                     48,                0.98163,                0.78932,                 1.1748,                0.87082,                0.77344,                 0.8773,                 0.6145,                 1.0295,                0.82762,                  1.237,              0.0008615,              0.0008615,              0.0008615
